ond,avg_daily_searches,nb_days
BSL-NAP,53.0,1
LYS-KRK,52.0,1
PAR-PUF,52.0,1
LIL-BER,52.0,1
PAR-KGL,52.0,1
MRS-BIO,52.0,1
PAR-BLL,52.0,1
LYS-QSF,52.0,1
PAR-MVD,52.0,1
LIL-RAK,52.0,1
TLS-BIA,52.0,1
BSL-MUC,51.0,1
SXB-LYS,51.0,1
LYS-FRA,51.0,1
LYS-FAO,51.0,1
CFE-BOG,51.0,1
BSL-PTY,51.0,1
LYS-RAI,50.0,1
BOD-SPU,50.0,1
PAR-HKG,50.0,1
NTE-YAO,50.0,1
NTE-RUN,50.0,1
TLS-OSL,50.0,1
LYS-BUH,50.0,1
NTE-NAP,50.0,1
PAR-VAR,50.0,1
TLS-AGP,49.0,1
BOD-SXM,49.0,1
LYS-PHX,49.0,1
PAR-SLL,49.0,1
NCE-RAK,49.0,1
TLS-DUS,49.0,1
NCE-VCE,49.0,1
MPL-RAK,49.0,1
BSL-DBV,49.0,1
BIQ-DUB,48.0,1
NCE-HEL,48.0,1
TLS-ATH,48.0,1
MPL-NYC,48.0,1
MRS-MCT,48.0,1
PAR-SEL,48.0,1
LRH-LON,48.0,1
PAR-SAN,48.0,1
BOD-HAM,48.0,1
BSL-ASR,48.0,1
PAR-MBA,48.0,1
PAR-CTG,48.0,1
NCE-SVQ,48.0,1
NTE-LPA,47.0,1
PAR-MAH,47.0,1
GNO-LON,47.0,1
NTE-GRX,47.0,1
BSL-MIA,47.0,1
PAR-TZX,47.0,1
BSL-LED,47.0,1
LYS-STO,47.0,1
BIQ-LON,47.0,1
TLS-KRK,47.0,1
NCE-CAI,47.0,1
RNS-RUN,47.0,1
LYS-SXB,46.0,1
TLS-LIL,46.0,1
TLS-FRA,46.0,1
FSC-ROM,46.0,1
PAR-BDS,46.0,1
PAR-TAS,46.0,1
PAR-NDR,46.0,1
PAR-CCU,46.0,1
BSL-BOG,45.0,1
PAR-KLX,45.0,1
NCE-DUS,45.0,1
SXB-MAD,45.0,1
NTE-DKR,45.0,1
MRS-GVA,45.0,1
SXB-ALC,45.0,1
RNS-GVA,45.0,1
PAR-FOR,45.0,1
LYS-GRX,45.0,1
NCE-CUN,45.0,1
MRS-SFO,45.0,1
LIL-LIS,45.0,1
MRS-LUX,45.0,1
NTE-TLV,45.0,1
MPL-LIS,45.0,1
PAR-PNA,45.0,1
LYS-ACE,44.0,1
NCE-BUH,44.0,1
SXB-AGP,44.0,1
NCE-REK,44.0,1
PAR-GYE,44.0,1
NCE-ZNZ,44.0,1
NTE-TLL,44.0,1
BSL-AMS,44.0,1
NCE-DKR,43.0,1
BOD-SOF,43.0,1
LYS-ZNZ,43.0,1
NCE-FLR,43.0,1
TLS-BUE,43.0,1
TLS-LIM,43.0,1
LYS-VRN,43.0,1
LIL-OPO,42.0,1
MRS-TLS,42.0,1
LYS-MEX,42.0,1
LYS-YAO,42.0,1
MPL-SJO,42.0,1
PAR-SSH,42.0,1
NTE-FUE,42.0,1
LYS-CFU,42.0,1
NTE-BUD,42.0,1
PAR-CLO,42.0,1
TLS-BLQ,42.0,1
CFR-LYS,42.0,1
PAR-RIC,42.0,1
SXB-BKK,42.0,1
PAR-DSM,42.0,1
LYS-VIE,42.0,1
PAR-SBH,42.0,1
NTE-JTR,41.0,1
BOD-NTE,41.0,1
PAR-CAG,41.0,1
PAR-BEL,41.0,1
PAR-ACC,41.0,1
PAR-LCG,41.0,1
NTE-FNC,41.0,1
NCE-YMQ,41.0,1
MPL-NDR,41.0,1
FSC-LYS,41.0,1
LYS-MOW,41.0,1
BES-LYS,41.0,1
NCE-TYO,41.0,1
LYS-HEL,41.0,1
LIL-NYC,41.0,1
MRS-ATL,41.0,1
NTE-XRY,41.0,1
MRS-OSL,41.0,1
MRS-ATH,41.0,1
SXB-BIA,41.0,1
LYS-GVA,40.0,1
PAR-OVD,40.0,1
PAR-UIO,40.0,1
NCE-RUN,40.0,1
MRS-OZZ,40.0,1
PAR-SJJ,40.0,1
PAR-PGF,40.0,1
BOD-BHX,40.0,1
BSL-TLS,40.0,1
NTE-LIL,40.0,1
LIL-BOD,40.0,1
NCE-OSL,40.0,1
PAR-GOA,40.0,1
PAR-LUX,40.0,1
BOD-NCE,40.0,1
LYS-CPT,40.0,1
BSL-STO,40.0,1
PAR-NKC,40.0,1
MRS-CLY,40.0,1
NCE-STR,40.0,1
NTE-TYO,40.0,1
NCE-FDF,40.0,1
PAR-THR,39.0,1
PAR-KRN,39.0,1
MRS-CAI,39.0,1
TLS-JCN,39.0,1
LYS-ABJ,39.0,1
PAR-LEJ,39.0,1
PAR-POZ,39.0,1
FSC-PAR,39.0,1
NTE-ZRH,39.0,1
TLS-CPH,39.0,1
NCE-JCN,39.0,1
BSL-SHJ,39.0,1
LYS-GOT,39.0,1
NTE-BOD,39.0,1
PAR-LBV,39.0,1
TLS-HAV,39.0,1
NCE-RAI,38.0,1
TLS-GDN,38.0,1
BSL-HER,38.0,1
PAR-OAK,38.0,1
LYS-DPS,38.0,1
LIL-PRG,38.0,1
MRS-FRA,38.0,1
LYS-CLY,38.0,1
BOD-DKR,38.0,1
BOD-SUF,38.0,1
NTE-MOW,38.0,1
PAR-PBG,38.0,1
MRS-CFR,38.0,1
TLS-ETZ,38.0,1
BOD-LAX,37.0,1
PIS-LON,37.0,1
NCE-OSA,37.0,1
NCE-LIL,37.0,1
PAR-GRZ,37.0,1
MRS-SJO,37.0,1
LDE-TCI,37.0,1
LYS-CAY,37.0,1
BOD-NAP,37.0,1
BOD-CAG,37.0,1
NCE-LAX,37.0,1
BSL-MLE,37.0,1
MRS-BSL,37.0,1
LYS-SIN,37.0,1
MRS-BDS,37.0,1
LYS-JMK,37.0,1
PAR-IVL,37.0,1
BES-LPA,37.0,1
MPL-AJA,36.0,1
MRS-BRI,36.0,1
MRS-OUD,36.0,1
BSL-NYC,36.0,1
NTE-BLL,36.0,1
MRS-DKR,36.0,1
TLS-FEZ,36.0,1
